# Header line
# Header line
# Header line

Date	Time	Vx	Vy	Vz	X
		m/s	m/s	m/s	m/s
03-01-2005 00:00:00.000       10.2790         -7.02200          6.81700          2.38800
03-01-2005 00:04:00.000       10.1480         -6.76600          6.30800          3.20400
03-01-2005 00:08:00.000       9.97000         -5.66100          6.90900          1.00000
03-01-2005 00:12:00.000       10.1230         -7.42500          4.42800         -2.45800
03-01-2005 00:16:00.000       10.0150         -8.65600          4.06900         0.151000
03-01-2005 00:20:00.000       10.0300         -7.87500          5.72400        -0.761000
03-01-2005 00:24:00.000       9.95000         -7.21400          5.95100        -0.882000
03-01-2005 00:28:00.000       9.62900         -6.45300          6.38200         -1.16000
03-01-2005 00:32:00.000       9.76300         -5.59100          7.28900          2.18500
03-01-2005 00:36:00.000       9.69900         -6.46900          6.94800          1.35900
03-01-2005 00:40:00.000       9.82800         -4.66700          7.19600          4.24200
03-01-2005 00:44:00.000       9.91700         -6.70200          6.59800         0.515000
03-01-2005 00:48:00.000       9.80200         -7.96900          3.55500         -3.73300
03-01-2005 00:52:00.000       9.71100         -7.34500          5.77200         -1.51000
03-01-2005 00:56:00.000       9.82100         -8.65800          4.02200        -0.656000
03-01-2005 01:00:00.000       9.91100         -9.52500          2.29700        -0.599000
03-01-2005 01:04:00.000       9.74100         -8.20900          3.26400          3.56200
03-01-2005 01:08:00.000       9.87200         -5.65400          6.59000         0.305000
03-01-2005 01:12:00.000       10.0040         -6.47300          7.38000         -1.06400
03-01-2005 01:16:00.000       10.0390         -6.34700          7.50900         -1.17800
03-01-2005 01:20:00.000       9.85100         -6.07100          7.62700        -0.204000
03-01-2005 01:24:00.000       9.75300         -3.79100          8.34000          1.17700
03-01-2005 01:28:00.000       10.0280         -5.66500          6.88100        -0.664000
03-01-2005 01:32:00.000       9.99800         -7.24200          6.08100         -2.56500
03-01-2005 01:36:00.000       10.0880         -3.95300          8.85600         -1.19100
03-01-2005 01:40:00.000       9.92600         -4.43900          8.31700         0.161000
03-01-2005 01:44:00.000       9.76000         -7.17100          2.81400          3.64600
03-01-2005 01:48:00.000       9.87100         -5.61800          6.31900          2.74300
03-01-2005 01:52:00.000       9.50800         -6.14000          6.90500         0.888000
03-01-2005 01:56:00.000       9.78000         -6.14400          6.19700        -0.551000
03-01-2005 02:00:00.000       9.77200         -7.90400          4.41500          2.35000
03-01-2005 02:04:00.000       9.75200         -8.37000          4.27000          1.85900
03-01-2005 02:08:00.000       9.48400         -7.76200          4.71900          2.17600
03-01-2005 02:12:00.000       9.48500         -6.49700          5.54600         0.234000
03-01-2005 02:16:00.000       9.79300         -4.94800          7.68500         -2.99100
03-01-2005 02:20:00.000       9.80500         -3.79600          8.03400         -3.87300
03-01-2005 02:24:00.000       9.75300         -3.99800          8.24400         -3.05700
03-01-2005 02:28:00.000       9.67600         -5.35800          7.35100         -3.19500
03-01-2005 02:32:00.000       9.68100         -2.93300          8.57200         -2.80700
03-01-2005 02:36:00.000       9.58400         -2.77800          8.68900         -2.82500
03-01-2005 02:40:00.000       9.48100         -4.21200          7.54400         -2.03000
03-01-2005 02:44:00.000       9.59100         -8.30000          4.59700         0.657000
03-01-2005 02:48:00.000       9.44400         -6.93900          6.24400        -0.494000
03-01-2005 02:52:00.000       9.20300         -6.64900          6.31700        -0.541000
03-01-2005 02:56:00.000       9.36100         -6.34500          6.73300         -1.09700
03-01-2005 03:00:00.000       9.57800         -5.68000          7.40300         -1.88000
03-01-2005 03:04:00.000       9.59900         -4.84800          7.90900         -2.39300
03-01-2005 03:08:00.000       9.48600         -5.04500          7.60600         -2.47500
03-01-2005 03:12:00.000       9.22700         -6.05800          6.41300         -1.30700
03-01-2005 03:16:00.000       9.17400         -6.90200          5.82000         -1.15900
03-01-2005 03:20:00.000       9.08500         -6.40400          6.24800         0.627000
03-01-2005 03:24:00.000       9.23900         -5.18500          7.13600         -2.39400
03-01-2005 03:28:00.000       9.19200         -4.62000          6.49300         -4.38600
03-01-2005 03:32:00.000       9.36100         -5.34800          6.33900         -4.17200
03-01-2005 03:36:00.000       9.36400         -5.20100          6.57200         -4.14100
03-01-2005 03:40:00.000       9.27400         -4.97700          5.78300         -5.12200
03-01-2005 03:44:00.000       9.19400         -5.19100          6.06400         -4.50000
03-01-2005 03:48:00.000       9.12700         -5.62400          5.50800         -4.49900
03-01-2005 03:52:00.000       9.07200         -5.88100          5.81200         -3.65900
03-01-2005 03:56:00.000       9.11400         -6.14100          5.98300         -2.99900
03-01-2005 04:00:00.000       9.13800         -6.45100          5.26600         -3.56900
03-01-2005 04:04:00.000       9.03900         -6.54800          5.63300        0.0680000
03-01-2005 04:08:00.000       9.08700         -5.52200          6.74000         -1.88600
03-01-2005 04:12:00.000       9.19400         -6.13000          6.42000         -2.25700
03-01-2005 04:16:00.000       9.13700         -5.96000          6.37400         -2.33200
